"subject"	"LAYING"	"SITTING"	"STANDING"	"WALKING"	"WALKING_DOWNSTAIRS"	"WALKING_UPSTAIRS"
1	-0.581856874365994	-0.654487715565923	-0.666037806243054	-0.175395549022228	-0.102352691553679	-0.28077954259639
2	-0.642483070349754	-0.666655090308538	-0.654299063091318	-0.305665397332725	-0.0600471702574341	-0.237053882091219
3	-0.633835036607427	-0.637579099974963	-0.62681345739081	-0.298276938371449	-0.184458988261808	-0.323158201075995
4	-0.628240153548999	-0.647427847260796	-0.620166430830635	-0.371350100861401	-0.232858001468653	-0.306410338989651
5	-0.638501995290852	-0.647742172802231	-0.613200451408739	-0.271580169679854	-0.102711218596946	-0.210848982379019
6	-0.614265360580676	-0.646227831733794	-0.637749236992917	-0.212760474429076	0.0439840163458744	-0.157298473450079
7	-0.623500989141986	-0.642020729321667	-0.640364780298851	-0.166886915663557	-0.117424548639117	-0.327584588622338
8	-0.622072094676528	-0.656897882272618	-0.649722276185931	-0.143246496815316	0.0437554607314297	-0.114836800233156
9	-0.625756264063887	-0.634306983030179	-0.634050709140567	-0.267600162589343	-0.115346264814377	-0.317212961872854
10	-0.650686071309822	-0.666425046007576	-0.636146571835577	-0.189296475631276	-0.0623333329423449	-0.181602889765616
11	-0.638664653224145	-0.659613216215418	-0.661719552300991	-0.358434615746761	-0.172647667881801	-0.335575338389478
12	-0.62719441075958	-0.657353544212716	-0.633988050254368	-0.237287715878516	-0.131825864527046	-0.318871801239237
13	-0.630703210356461	-0.664564208166265	-0.656684289190487	-0.192914334552621	-0.123476627234852	-0.295855430414176
14	-0.606679160183787	-0.659677632851348	-0.648172547893824	-0.269120403464138	0.0481441883304842	-0.07960989838377
15	-0.632206083409712	-0.663184388400401	-0.648370425323344	-0.286620069799807	-0.0675771015784044	-0.260097764029204
16	-0.642641278905244	-0.664095303946349	-0.658857184183921	-0.362494857215613	-0.16777604636927	-0.347425274953415
17	-0.630857157921601	-0.676153811728447	-0.667603883132292	-0.289738619691571	-0.185185441115629	-0.268141568553653
18	-0.645444486988227	-0.673047099534856	-0.658686654338192	-0.373665728320533	-0.327115890746027	-0.39025327359213
19	-0.641514245816329	-0.657606101866705	-0.649942841859029	-0.0579579051613629	0.197405080281929	-0.164101873424608
20	-0.637282637803338	-0.655563565737589	-0.618457266825123	-0.0790539691454674	-0.000345810138480594	-0.172841038301507
21	-0.628879231388124	-0.672333065437043	-0.654655889063237	-0.221111067645776	-0.0927849870180199	-0.264384050896307
22	-0.618637790040226	-0.649714701660116	-0.641310888675946	-0.144502432759216	-0.100406069267239	-0.15900006317038
23	-0.637879435834036	-0.655574483786764	-0.649476108042821	-0.0805618455473463	0.0393853252279795	-0.225712981398841
24	-0.637593207048433	-0.666440603606397	-0.648831690809539	-0.336704341146835	-0.19304604837009	-0.327355624026813
25	-0.555717601429487	-0.666903980578928	-0.65359611865327	-0.398959908597739	-0.296012410635221	-0.39906920993764
26	-0.644016950230476	-0.66157919895145	-0.654732460040063	-0.299057726017245	-0.128097684189973	-0.29555682453606
27	-0.646337686938691	-0.667882079764868	-0.658099774988901	-0.295669258275017	-0.133143989317174	-0.332666256165189
28	-0.64896937704829	-0.660428561635688	-0.627157109078921	-0.294261963068427	-0.0925398979566901	-0.288723906424024
29	-0.646345085579128	-0.668290482704746	-0.66120382584693	-0.23808778665096	-0.131367723552847	-0.198643943489016
30	-0.633216181173367	-0.661430738986085	-0.629003963087451	-0.248109810463031	-0.169500654189745	-0.304003839202524
